Features,"Lasso
",LinReg,"RF
",Ridge,rlasso/Stability,Total,Mean
Meteorological Drought,0.147878,0.133236,0.481081,0.142111,0.395,1.299306,0.2598612
Hydrological Drought,0.123329,0.189648,0.229831,0.182919,0.04,0.765727,0.1531454
Agricultural Drought,0.186421,0.2609,0.289088,0.246662,0.35,1.333071,0.2666142
Meteorological Drought,0.0421886,0.149806,0.170907,0.1438,0.025,0.5317016,0.10634032
Hydrological Drought,0.638715,0.679815,0.656532,0.663546,0.81,3.448608,0.6897216
Agricultural Drought,0,0.0776541,0.656532,0.0709605,0,0.8051466,0.16102932
Meteorological Drought,0.0939521,0.07929,0.479253,0.0932591,0.42,1.1657542,0.23315084
Hydrological Drought,0.321566,0.387889,0.4175,0.375102,0.445,1.947057,0.3894114
Agricultural Drought,0.164224,0.238719,0.103247,0.220546,0.14,0.866736,0.1733472
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,